step,loss,l_attack,l_perc,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
500,0.8709390163421631,0.8606420755386353,0.01029697060585022,0.0,9.779754323328191e-05,0.5906255756368602,0.3973707577014131,0.19325481793544713
510,0.7110389471054077,0.7110389471054077,0.0,0.0,9.772710486599749e-05,,,
520,0.5792812705039978,0.5792812705039978,0.0,0.0,9.761942372476348e-05,,,
530,0.41802480816841125,0.41802480816841125,0.0,0.0,9.754628988218045e-05,,,
540,0.01446946244686842,0.01446946244686842,0.0,0.0,9.743457411517889e-05,,,
550,0.1432853788137436,0.1432853788137436,0.0,0.0,9.735875634597879e-05,,,
560,0.9159294962882996,0.9159294962882996,0.0,0.0,9.724302359442432e-05,,,
570,0.554000735282898,0.554000735282898,0.0,0.0,9.716453387111181e-05,,,
580,0.12228825688362122,0.12228825688362122,0.0,0.0,9.704480241054753e-05,,,
590,0.8939289450645447,0.8939289450645447,0.0,0.0,9.696365312755981e-05,,,
600,0.4620605409145355,0.4620605409145355,0.0,0.0,9.683994186497131e-05,,,
610,0.07162502408027649,0.07162502408027649,0.0,0.0,9.675614583672088e-05,,,
620,0.47541067004203796,0.47541067004203796,0.0,0.0,9.66284743075506e-05,,,
630,0.9226557612419128,0.914632260799408,0.008023492991924286,0.0,9.654204476640171e-05,,,
640,0.7829990386962891,0.7829990386962891,0.0,0.0,9.641043313146416e-05,,,
650,0.5314295887947083,0.5314295887947083,0.0,0.0,9.632138372564326e-05,,,
660,0.9011948108673096,0.9011948108673096,0.0,0.0,9.618585276794125e-05,,,
670,0.3783300817012787,0.3783300817012787,0.0,0.0,9.609419755938185e-05,,,
680,0.3596145808696747,0.3596145808696747,0.0,0.0,9.595476868082479e-05,,,
690,0.6277281045913696,0.6277281045913696,0.0,0.0,9.586052214294679e-05,,,
700,0.02356731705367565,0.02356731705367565,0.0,0.0,9.571721736097086e-05,,,
710,0.4404500126838684,0.4404500126838684,0.0,0.0,9.562039437639514e-05,,,
720,0.8698656558990479,0.8698656558990479,0.0,0.0,9.547323632048668e-05,,,
730,0.4600975215435028,0.4600975215435028,0.0,0.0,9.537385217868494e-05,,,
740,0.09127947688102722,0.09127947688102722,0.0,0.0,9.522286408680687e-05,,,
