step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
570,0.5166905522346497,0.5166905522346497,0.0,0.0,0.0,4.857237245183431e-05,,,,,,
580,0.10266724228858948,0.10266724228858948,0.0,0.0,0.0,4.852240120527374e-05,,,,,,
590,0.30693861842155457,0.30693861842155457,0.0,0.0,0.0,4.8471600030309704e-05,,,,,,
600,0.057122208178043365,0.05543016642332077,0.0,0.003384079784154892,0.0,4.8419970932485614e-05,,,,,,
610,0.2479701042175293,0.2472829669713974,0.0,0.0013742707669734955,0.0,4.8367515950029845e-05,,,,,,
620,0.24691900610923767,0.24691900610923767,0.0,0.0,0.0,4.831423715377527e-05,,,,,,
630,0.06542730331420898,0.06542730331420898,0.0,0.0,0.0,4.826013664707754e-05,,,,,,
640,0.2957199811935425,0.2957199811935425,0.0,0.0,0.0,4.820521656573204e-05,,,,,,
650,0.06085439398884773,0.06085439398884773,0.0,0.0,0.0,4.814947907788953e-05,,,,,,
660,0.3566751480102539,0.35624605417251587,0.0,0.0008581783622503281,0.0,4.809292638397059e-05,,,,,,
670,0.401582270860672,0.401582270860672,0.0,0.0,0.0,4.803556071657877e-05,,,,,,
680,0.28834375739097595,0.28834375739097595,0.0,0.0,0.0,4.797738434041236e-05,,,,,,
690,0.2294391542673111,0.22943422198295593,0.0,9.852461516857147e-06,0.0,4.7918399552175095e-05,,,,,,
700,0.14347878098487854,0.1424611359834671,0.0,0.0020353011786937714,0.0,4.7858608680485404e-05,,,,,,
710,0.6074923872947693,0.6028734445571899,0.0003653336316347122,0.008507218211889267,0.0,4.779801408578454e-05,,,,,,
720,0.12742504477500916,0.12742504477500916,0.0,0.0,0.0,4.773661816024333e-05,,,,,,
730,0.011649157851934433,0.011649157851934433,0.0,0.0,0.0,4.7674423327667786e-05,,,,,,
740,0.07126809656620026,0.07126809656620026,0.0,0.0,0.0,4.7611432043403415e-05,,,,,,
750,0.03015732765197754,0.03015732765197754,0.0,0.0,0.0,4.754764679423826e-05,,,,,,
760,0.26395416259765625,0.26286759972572327,0.0,0.002173136919736862,0.0,4.7483070098304744e-05,,,,,,
770,0.20415104925632477,0.1997637003660202,0.0,0.008774708956480026,0.0,4.741770450498023e-05,,,,,,
780,0.32038241624832153,0.3165859282016754,0.0012550707906484604,0.0050828419625759125,0.0,4.735155259478644e-05,,,,,,
790,0.09975403547286987,0.09975403547286987,0.0,0.0,0.0,4.7284616979287494e-05,,,,,,
800,0.40991243720054626,0.40991243720054626,0.0,0.0,0.0,4.72169003009869e-05,,,,,,
810,0.0392957478761673,0.03928227722644806,0.0,2.694409340620041e-05,0.0,4.7148405233223174e-05,,,,,,
820,0.3173547387123108,0.31590038537979126,0.0,0.00290868803858757,0.0,4.7079134480064306e-05,,,,,,
830,0.3105345666408539,0.3105345666408539,0.0,0.0,0.0,4.7009090776201e-05,,,,,,
840,0.22276900708675385,0.20838536322116852,0.0,0.02876729890704155,0.0,4.6938276886838764e-05,,,,,,
850,0.32710468769073486,0.32710468769073486,0.0,0.0,0.0,4.686669560758869e-05,,,,,,
860,0.021437138319015503,0.020709412172436714,0.0,0.0014554522931575775,0.0,4.679434976435715e-05,,,,,,
870,0.35118260979652405,0.35118260979652405,0.0,0.0,0.0,4.672124221323411e-05,,,,,,
880,0.027771757915616035,0.027559641748666763,0.0,0.0004242323338985443,0.0,4.6647375840380535e-05,,,,,,
890,0.13097311556339264,0.13097311556339264,0.0,0.0,0.0,4.6572753561914346e-05,,,,,,
900,0.36876410245895386,0.36765503883361816,0.0,0.002218138426542282,0.0,4.649737832379531e-05,,,,,,
910,0.41128113865852356,0.41128113865852356,0.0,0.0,0.0,4.642125310170878e-05,,,,,,
920,0.04545678570866585,0.04545678570866585,0.0,0.0,0.0,4.6344380900948175e-05,,,,,,
930,0.3839896619319916,0.3805927038192749,0.0,0.006793927401304245,0.0,4.6266764756296336e-05,,,,,,
940,0.0731223076581955,0.06438349187374115,0.0,0.017477627843618393,0.0,4.6188407731905766e-05,,,,,,
950,0.016776125878095627,0.016776125878095627,0.0,0.0,0.0,4.6109312921177626e-05,,,,,,
960,0.24223878979682922,0.24176326394081116,0.0,0.0009510479867458344,0.0,4.60294834466396e-05,,,,,,
970,0.0718449056148529,0.0718449056148529,0.0,0.0,0.0,4.5948922459822654e-05,,,,,,
980,0.2559654116630554,0.2559654116630554,0.0,0.0,0.0,4.5867633141136626e-05,,,,,,
990,0.09825240820646286,0.09825240820646286,0.0,0.0,0.0,4.578561869974461e-05,,,,,,
1000,0.3249274790287018,0.3249274790287018,0.0,0.0,0.0,4.570288237343632e-05,0.5906255756368602,0.16534378129744853,0.4252817943394117,0.794803311474418,0.7853622659163044,0.009441045558113537
1010,0.055928491055965424,0.055928491055965424,0.0,0.0,0.0,4.561942742850025e-05,,,,,,
1020,0.3512223958969116,0.3512223958969116,0.0,0.0,0.0,4.5535257159594736e-05,,,,,,
